fecha,producto,sku,precio_farmacity,lista_farmacity,precio_farmaplus,lista_farmaplus,precio_selma,lista_selma,precio_central_oeste,lista_central_oeste,precio_farmaonline,lista_farmaonline
2026-06-01,CeraVe Loción Hidratante 236 ml,3337875597210.0,32016.0,,25613.0,32016.0,25603.0,32016.0,32000.0,,32016.0,
2026-06-01,ISDIN Fusion Water Color FPS 50 50 ml,8429420154186.0,73446.0,,66100.0,73445.0,51397.0,73445.0,73450.0,,73445.12,
2026-06-01,Bioderma Atoderm Crème Ultra Hidratante 500 ml,3701129805343.0,,,,,,,76530.25,,49744.67,76530.26
2026-06-01,Bioderma Sensibio Gel Moussant 200 ml,3401381507565.0,,,,,52114.0,65146.59,65146.59,,52117.27,65146.59
2026-06-01,Eximia Hyalu Sensitive Gel Crema Facial 50 g,7798178624403.0,,,43200.0,48000.0,,,48000.0,,,
2026-06-01,Cepage Atophen Sensitive Emulsión 40 ml,7798178624328.0,38500.0,,34650.0,38500.0,,,38500.0,,,
2026-06-01,Eucerin Aquaphor Reparador de Labios SOS 10 ml,4005800268731.0,41947.0,,,,41947.0,,29365.0,41950.0,41946.99,
2026-06-01,Eucerin Sun Pigment Control FPS 50 50 ml,4005800241901.0,80837.0,,75901.0,,,,53130.0,75900.0,80834.3,
2026-06-01,Rayito de Sol Protector Solar Facial FPS 50 50 g,7796045102672.0,13321.0,17762.0,,,,,14000.0,17500.0,14209.28,17761.6
2026-06-01,Tortulán Crema Antiarrugas Contorno de Ojos 15 g,7796045750040.0,7699.0,10265.0,7720.0,10294.0,,,7672.0,9590.0,8234.8,10293.5
2026-06-01,Tortulán Physiologyque Serum Reparación Intensiva 30 ml,7796045750118.0,11104.0,14805.0,11105.0,14807.0,,,9646.0,13780.0,10364.9,14807.0
2026-06-01,Neutrogena Deep Clean Intensive Gel de Limpieza Facial Grapefruit 150 g,7891010972226.0,10295.0,,7026.0,9368.0,,,10300.0,,11212.31,
2026-06-01,Neutrogena Hydro Boost Water Gel 50 g,7891010882983.0,31201.0,,,,,,24400.0,30500.0,31200.78,
2026-06-01,Bagóvit A Emulsión Nutritiva Humectante 350 g,7790375267285.0,15187.0,23365.0,12980.0,21634.0,21634.0,,12500.4,20834.0,15187.25,23365.0
